"id","data_pesquisa","last_verified","data_publicacao","plataforma","marca","segmento","url","tipo","formato","duracao","publico","estagio_funil","gancho","dor","promessa","estrutura_mensagem","prova","cta","estilo_visual","ritmo_edicao","comentarios_reacoes","motivo_relevancia","adaptacao_confeccontrol","riscos_pontos_fracos","nota_relevancia","nota_clareza","nota_diferenciacao","nota_credibilidade","nota_potencial_conversa","nota_facilidade_producao","nota_adequacao_marca","nota_adequacao_funil","classificacao","confianca_observacao","confianca_alegacao","status"
"C019","2026-08-18","2026-08-18","2026-03-30","LinkedIn","Massei Uniformes","Fábrica de uniformes","https://pt.linkedin.com/posts/rafael-massei-6018a694_o-bastidor-%C3%A9-onde-a-excel%C3%AAncia-realmente-activity-7444488631169462274-oF6j","Post orgânico","Vídeo tour","duração não informada","Compradores e gestores de uniformes","Topo/Confiança","Excelência acontece nos bastidores","Processo produtivo é invisível ao cliente","Estrutura e organização geram confiança","Tour → etapas → pessoas/máquinas → fechamento institucional","Fábrica, pessoas e processo reais","Sem CTA comercial forte","Câmera em movimento pelo chão de fábrica","Espontâneo e sequencial","Comentários elogiaram organização; houve crítica técnica; contagem não registrada","Chão de fábrica real gera confiança e discussão técnica","Visitar cliente autorizado e sobrepor status do pedido nas etapas","Números apresentados são da marca e precisam de validação","9","8","8","9","7","4","9","8","Fato público + inferência","Alta","Média","Publicação localizada"
"C020","2026-08-18","2026-08-18","2026-04-08","LinkedIn","Indústria Gráfica Santa Marta","Indústria gráfica, referência adjacente","https://pt.linkedin.com/posts/santamartaind_bastidores-activity-7447723461755650048-ZU12","Post orgânico","Carrossel 6 cards","n/a","Compradores B2B","Topo","O que acontece antes de o produto chegar","Complexidade e qualidade invisíveis","Processo acompanhado do início ao acabamento","Pergunta → uma etapa por card → produto final → site","Fotos reais de pessoas e máquinas","Visitar site","Progressão visual com fotos reais","Uma etapa por card","Comentários/reações não observados","A estrutura pode ser adaptada à confecção","Pedido, aprovação, corte, costura/estampa, acabamento e entrega","É de segmento adjacente, não prova interesse do ICP","7","9","7","9","6","6","8","8","Fato público + inferência","Alta","Alta","Publicação localizada"
"C021","2026-08-18","2026-08-18","2026-03-09","LinkedIn","Matheus Carlucci / fábrica de uniformes","Marketing para uniformes","https://pt.linkedin.com/posts/matheus-carlucci-626b85104_fevereiro-foi-um-m%C3%AAs-interessante-aqui-na-activity-7436790156445048832-lk_7","Post de bastidor","Texto","n/a","Gestores de uniformes","Meio/Autoridade","ROAS autodeclarado e operação alinhada à oferta","Mercado competitivo e prazo sazonal","Posicionamento, timing e operação elevam resultado","Resultado alegado → contexto → fatores operacionais → aprendizado","Números e estratégia declarados pelo autor","Sem CTA comercial forte","Texto de bastidor","Leitura narrativa","1 comentário genérico no recorte","Mostra que oferta precisa caber na capacidade operacional","Planejar campanha antes do pico e prometer somente o prazo suportado","ROAS não auditado e não é benchmark","6","7","8","5","5","9","6","7","Alegação da marca","Alta","Baixa","Publicação localizada"
"C022","2026-08-18","2026-08-18","2022-06-27","YouTube","Bling","ERP para pequenos negócios","https://www.youtube.com/watch?v=BmMauvitRZI","Treinamento","Vídeo longo com capítulos","pelo menos 58 min","Pequenos negócios","Fundo/Onboarding","Manter o negócio rodando com estoque controlado","Entradas, saídas, depósitos e reservas","Dominar o módulo na prática","Introdução → capítulos por tarefa → interface → teste","Interface real e passo a passo completo","Teste gratuito","Gravação de tela","Lento, pesquisável e dividido em capítulos","41.930 visualizações e 529 curtidas no recorte; comentários não inspecionados","Conteúdo de suporte também atende pesquisa de solução","Demo completa do ConfecControl recortada em vídeos de 30–45 s","Vídeo antigo e produto genérico; métricas não provam venda","6","8","5","9","5","5","7","9","Fato público + inferência","Alta","Alta","Publicação localizada"
"C023","2026-08-18","2026-08-18","2025-05-12","TikTok Shop Seller University","TikTok Shop","Marketplace / operação de sellers","https://seller-br.tiktok.com/university/essay?knowledge_id=605713333683985","Conteúdo educacional oficial","Vídeo incorporado","duração não informada","Lojistas TikTok Shop","Meio/Ativação","Trabalhar com eficiência e enviar mais rápido","Estoque dessincronizado, NF-e e processamento manual","Sincronização e agilidade operacional","Dor → benefício operacional → instalação de ERP","Material oficial da plataforma","Instalar ERP","Um resultado operacional central","Educativo e orientado à ativação","Página sem comentários","Velocidade é mais clara que lista de módulos","Série de um resultado: prazo, etapa, saldo ou estoque","Segmento adjacente; NF-e do ConfecControl está indisponível","5","8","6","9","5","7","5","8","Fato público + inferência","Alta","Alta","Publicação localizada"
"C024","2026-08-18","2026-08-18","não informada","Site","Mire Data","ERP para confecção e moda","https://www.miredata.com.br/","Landing page","Página de conversão","n/a","Dono de confecção e marca","Fundo","Controle do croqui ao faturamento","Margem, estoque parado, caixa e atraso em facções","Saber onde ganha, perde e deve agir","Promessa → decisões do dono → módulos → prova → demonstração","Marcas e depoimentos identificados pela empresa","Agendar demonstração / WhatsApp","Página orientada a decisões e prova social","Progressão de dor a prova","Não aplicável; landing page","Traduz módulos em consequências financeiras","Organizar página por produzir, entregar e cobrar com prova própria","Resultados e clientes são declarações públicas da marca","9","9","8","8","9","8","9","10","Fato público + alegação da marca","Alta","Média","Página ativa verificada"
"C025","2026-08-18","2026-08-18","não informada","Site","Agulhão ERP","ERP para confecções, facções e moda","https://www.agulhao.com.br/","Landing page","Página de conversão","n/a","Confecção, facção e loja de moda","Fundo","Sistema feito para o setor","ERP genérico e implantação difícil","Rotinas específicas com suporte humano","Especialização → recursos → confiança → teste/especialista","15 anos, clientes identificados e teste acompanhado declarados","Teste ou especialista","Telas, depoimentos e sinais legais","Completa, consultiva e orientada à redução de risco","Não aplicável; landing page","Trata suporte como parte do produto","Mostrar implantação acompanhada e primeiro fluxo, sem prazo não provado","Escopo amplo e alegações da própria marca","9","9","7","8","9","8","9","10","Fato público + alegação da marca","Alta","Média","Página ativa verificada"
"C026","2026-08-18","2026-08-18","não informada","Site","Brinderoz","Gráfica, estamparia e personalizados","https://www.brinderoz.com.br/","Landing page","Página de conversão e preço","n/a","Gráfica, papelaria, sublimação e estamparia","Fundo","Fim de planilha, pedido perdido e prazo estourado","Operação dispersa","Orçamento, estoque e Kanban verticalizados","Dor vertical → recursos → preço/teste → CTA","R$ 39,90 / R$ 94,90, teste de 10 dias; NF-e adicional desde R$ 13/mês","Começar grátis / WhatsApp","Seções por segmento e planos","Direto e comercial","Não aplicável; landing page","Alta especificidade por segmento e transparência","Landing de estamparia com telas/dados reais","Contadores zerados observados prejudicam confiança; preços mudam","8","9","8","7","9","8","8","10","Fato público + alegação da marca","Alta","Média","Página ativa verificada"
"C027","2026-08-18","2026-08-18","não informada","Site","Atentor ERP","Varejo e indústria de confecção","https://atentor.com/","Landing page","Página de produto e preço","n/a","Varejo e indústria de roupas e acessórios","Fundo","Da fábrica aos canais de venda","Produção, loja e vendedores desconectados","Operação modular","Posicionamento → módulos → planos → demonstração","Telas, preços, CNPJ e descrição de implantação","Demonstração / WhatsApp","Cards de planos e módulos","Escaneável e comparável","Não aplicável; landing page","Transparência comercial reduz incerteza","Explicar trabalhos resolvidos sem tentar vencer pelo menor preço","PCP fica no personalizado; preço básico não é comparável","8","9","6","8","9","8","7","10","Fato público + alegação da marca","Alta","Média","Página ativa verificada"
"C028","2026-08-18","2026-08-18","não informada","Site","Sisplan / Apexcon","Sistema para confecção de uniformes","https://www.apexcon.com.br/sistema-para-confeccao-de-uniforme","Landing vertical","Página para uniformes","n/a","Confecção de uniformes","Fundo","Orçamento, ficha e preço em uma tela","Personalização, repetição, consumo e margem","Pedido aprovado vira produção","Dor vertical → função → telas → orçamento","Telas e experiência/base declaradas pela marca","Solicitar orçamento","Detalhe funcional e telas","Denso, técnico e vertical","Não aplicável; landing page","Fala diretamente com o fluxo de uniformes","Mostrar histórico, grade, prazo e saldo quando suportados","Alegações não auditadas; conferir recursos atuais","9","9","8","7","9","7","9","10","Fato público + alegação da marca","Alta","Média","Página ativa verificada"
"C029","2026-08-18","2026-08-18","não informada","Site","Textil Solution","Sistema para camisetas e uniformes","https://textilsolution.com.br/","Landing page","Página de conversão e preço","n/a","Camisetas, uniformes e produção sob encomenda","Fundo","Menos correria e mais entrega no prazo","Refazer peça, descobrir atraso tarde e esquecer pagamento","Sistema simples no navegador e celular","Dor → fluxo em 3 passos → recursos → planos → FAQ","Preços públicos, teste sem cartão, termos e recursos descritos","Começar teste / WhatsApp","Mockups, planos e linguagem simples","Didático e orientado a iniciantes","Não aplicável; landing page","Traduz função em consequência cotidiana","Diferenciar com tela real, bancada, implantação e casos","Sem prova pública de resultados; promessa de IA precisa ser verificada","9","9","7","7","9","8","9","10","Fato público + alegação da marca","Alta","Média","Página ativa verificada"
"C030","2026-08-18","2026-08-18","não informada","Site","Conquest ERP","ERP para confecções","https://conquest.com.br/erp-para-confeccoes/","Landing vertical","Página SEO e demonstração","n/a","Confecções","Fundo","Controle e produtividade para confecções","Grade, tecido, corte e retrabalho","Produção, estoque, fiscal e financeiro","SEO vertical → lista de recursos → tela → agenda/teste","Planos gerais de R$ 100, R$ 200 e R$ 400/mês; telas e agenda","Agendar demonstração / teste","Lista de recursos e calendário","Denso e funcional","Não aplicável; landing page","Agendamento imediato reduz atrito","Oferecer agenda curta e prova exclusivamente do nicho","Depoimento observado era de outro segmento; vertical sem preço próprio","7","8","5","6","8","8","7","9","Fato público + alegação da marca","Alta","Média","Página ativa verificada"
