prioridade,empresa,site,segmento,por_que,telefone,data_contato,quem_atendeu,controla_como_hoje,pedidos_simultaneos,frase_literal,aceitou_visita,proximo_passo
A,POLO SUL IND E COM DE CONFECCOES LTDA,polosulbrindes.com.br,brinde promocional,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,PONTO FORTE BORDADOS LTDA,eroika.com.br,bordado,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,SHOWA CONFECCOES LTDA,showabones.com.br,bone,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,SLC BONES PROMOCIONAIS LTDA,slcbones.com.br,"bone, brinde promocional",ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,SOCCER IND E COM DE CONFECCOES LTDA,soccerbrindes.com.br,brinde promocional,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,STREET ART CAPS ACESSORIOS DO VESTUARIO LTDA,facebook.com/streetartcapsoficial,bone,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,T C F - DESIGN DE MODA E BORDADOS LTDA,tasci.com.br,bordado,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
A,T K M - IND E COM DE CONFECCOES LTDA,tkmbones.com.br,bone,ICP puro (lote + grade + arte) e tem site para pesquisar antes de ligar,,,,,,,,
B,ALX BORDADOS E CONFECCOES LTDA,,bordado,"ICP puro, sem site -- ligar direto",,,,,,,,
B,B R L BONES PROMOCIONAIS LTDA,,"bone, brinde promocional","ICP puro, sem site -- ligar direto",,,,,,,,
B,BONELESKA S/A,,bone,"ICP puro, sem site -- ligar direto",,,,,,,,
B,CAP COMPANY LTDA,,bone,"ICP puro, sem site -- ligar direto",,,,,,,,
B,CRISAG IND E COM DE BRINDES LTDA,,brinde promocional,"ICP puro, sem site -- ligar direto",,,,,,,,
B,DOMENICO BRINDES PROMOCIONAIS LTDA,,brinde promocional,"ICP puro, sem site -- ligar direto",,,,,,,,
B,EURO BRINDES COMERCIO E CONFECCOES LTDA,,brinde promocional,"ICP puro, sem site -- ligar direto",,,,,,,,
B,FERNANDO UNIFORMES LTDA,,uniforme,"ICP puro, sem site -- ligar direto",,,,,,,,
B,GGP BONES IND E COM DE CONFECCOES LTDA,,bone,"ICP puro, sem site -- ligar direto",,,,,,,,
B,JM IND DE CONFECCOES E BRINDES LTDA,,brinde promocional,"ICP puro, sem site -- ligar direto",,,,,,,,
B,M. D. BONES PROMOCIONAIS LTDA,,"bone, brinde promocional","ICP puro, sem site -- ligar direto",,,,,,,,
B,PROCAPS - BRINDES E CONFECCOES LTDA,,"bone, brinde promocional","ICP puro, sem site -- ligar direto",,,,,,,,
B,PROCAPS BONES PROMOCIONAIS LTDA,,"bone, brinde promocional","ICP puro, sem site -- ligar direto",,,,,,,,
B,R A S INDUSTRIA DE BRINDES LTDA,,brinde promocional,"ICP puro, sem site -- ligar direto",,,,,,,,
B,ROJEAL INDUSTRIA DE ROUPAS E BONES LTDA,,bone,"ICP puro, sem site -- ligar direto",,,,,,,,
B,TOMBSTONE CONFECCOES E BRINDES LTDA,,brinde promocional,"ICP puro, sem site -- ligar direto",,,,,,,,
B,TRUE CAP CONFECCOES LTDA,,bone,"ICP puro, sem site -- ligar direto",,,,,,,,
C,BRAFORTE IND E COM DE CONFECCOES LTDA,braforte.com.br,confeccao,"confeccao generica, tem site",,,,,,,,
C,COMMANDERS IND E COM DE CONFECCOES LTDA,commanders.com.br,confeccao,"confeccao generica, tem site",,,,,,,,
C,HEZZITU IND E COM DE CONFECCOES LTDA,kyoodai.com.br,confeccao,"confeccao generica, tem site",,,,,,,,
C,INOVA CONFECCOES LTDA,inovaconfeccoes.com.br,confeccao,"confeccao generica, tem site",,,,,,,,
C,LAYNERS IND E COM DE CONFECCOES LTDA,layners.com.br,confeccao,"confeccao generica, tem site",,,,,,,,
C,LOOFTING CONFECCOES LTDA,loofting.com.br,confeccao,"confeccao generica, tem site",,,,,,,,
C,RHINOSIZE CONFECCOES LTDA - ME,rhinosize.com.br,confeccao,"confeccao generica, tem site",,,,,,,,
D,AJB CARUZO IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,ALT-AMERICA LATINA TEXTIL IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,ANGELA MARIA BANDEIRA CARDOZO DOS SANTOS,,confeccao,"confeccao generica, sem site",,,,,,,,
D,BENEDITA MIGUEL RIBEIRO,,confeccao,"confeccao generica, sem site",,,,,,,,
D,BJJ INDUSTRIA E COMERCIO DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,BLUE OCEAN CONFECCOES S.A.,,confeccao,"confeccao generica, sem site",,,,,,,,
D,BRASIL FIGHTS IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,C. ENZ CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,C.L. ALVES IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,CAS CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,CJOS FASHION LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,COBAN IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,CUCA BACANA IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,DATRI IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,DINAMICA COM E CONFECCAO DE VESTUARIO LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,DSO IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,DUNNAS - IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,ELIETE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,EPLOC CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,EVOLUCAO IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,FATOR-8 CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,FENIX SOLUCOES - IND COM E IMPORTACAO LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,GIOVANNA NEVES CONFECCAO DE PECAS DO VESTUARIO,,confeccao,"confeccao generica, sem site",,,,,,,,
D,H2 IND DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,I9 BRASIL IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,IDEIA IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,INDOMAVEL IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,J C CORDEIRO CONFECCOES E ACESSORIOS LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,J. C. CILIAO - CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,L. COTRIM DOS SANTOS CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,L2 - CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,LASTUF IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,LB.K CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,MAGUS CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,MARLENE S. A. CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,MAURICIO GAMA CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,MCCM IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,MENDES & RAVANEDA IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,MODA E FIO CONFECCAO LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,NATURAL IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,NOSTRA ART - IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,NOVE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,OLHO NU CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,ONDAS - IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,ONIX CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,POMPANO INDUSTRIA E COMERCIO LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,QUALITY CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,R A SILVA IND DE CONFECCAO E ACESSORIOS,,confeccao,"confeccao generica, sem site",,,,,,,,
D,RAIKA IND E COM DE CONFECCOES LTDA (BRL),,confeccao,"confeccao generica, sem site",,,,,,,,
D,RCF CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,RECICLAR INDUSTRIA DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,SAGAWA IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,TALENTO IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,TATIANE DOS SANTOS SOUZA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,TINA CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,TOKAN IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,V A DE FREITAS CORREIA CONFECCOES,,confeccao,"confeccao generica, sem site",,,,,,,,
D,VIA ITALIA CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,VIZA FACCAO DE ROUPAS LTDA,,faccao,"confeccao generica, sem site",,,,,,,,
D,X 3 T IND E COM DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,ZIPO CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,ZS TEXTIL IND DE CONFECCOES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
D,ZUCARELLI E MENDES LTDA,,confeccao,"confeccao generica, sem site",,,,,,,,
X,ASSIBBRA - ASSOC DAS IND DE BONES E BRINDES DE APUCARANA E REGIAO,,"entidade -- e CANAL, nao cliente",fora do ICP -- nao produz peca sob encomenda,,,,,,,,
X,BRC ARTIGOS PARA CONFECCOES LTDA,brctecidos.com.br,fornecedor de tecido,fora do ICP -- nao produz peca sob encomenda,,,,,,,,
X,C.M. ORATHES CONFECCOES E EQUIPAMENTOS LTDA,,equipamentos,fora do ICP -- nao produz peca sob encomenda,,,,,,,,
X,CONFITEX IND E COM DE AVIAMENTOS LTDA,confitexaviamentos.com.br,aviamentos,fora do ICP -- nao produz peca sob encomenda,,,,,,,,
X,E.V.A. SOLUCOES - IMPORTACAO IND E COM LTDA,,importacao,fora do ICP -- nao produz peca sob encomenda,,,,,,,,
X,FORTUNA MAQUINAS LTDA,mabfortuna.com.br,maquinas,fora do ICP -- nao produz peca sob encomenda,,,,,,,,
X,GLX IND COM IMPORTACAO DE CONFECCOES LTDA,globeximport.com.br,importacao,fora do ICP -- nao produz peca sob encomenda,,,,,,,,
X,K E L F NICOLINI,kelfaviamentos.com.br,aviamentos,fora do ICP -- nao produz peca sob encomenda,,,,,,,,
X,L.L.C.C. IND E COM DE TECIDOS E CONFECCOES LTDA,,tecidos,fora do ICP -- nao produz peca sob encomenda,,,,,,,,
X,MAJO TEXTIL COMERCIO DE TECIDOS LTDA,,fornecedor de tecido,fora do ICP -- nao produz peca sob encomenda,,,,,,,,
X,PARANATEX INDUSTRIA TEXTIL LTDA,paranatex.com.br,industria textil (produz tecido),fora do ICP -- nao produz peca sob encomenda,,,,,,,,
X,QUALITY AVIAMENTOS LTDA,qualityaviamentos.com.br,aviamentos,fora do ICP -- nao produz peca sob encomenda,,,,,,,,
X,RSM COMERCIO IMPORTACAO E EXPORTACAO S.A,,importacao/exportacao,fora do ICP -- nao produz peca sob encomenda,,,,,,,,
X,SHOWROOM VICUNHA - APUCARANA (MAIOLA),instagram.com/colourstrends_showroom,showroom de tecido,fora do ICP -- nao produz peca sob encomenda,,,,,,,,
X,TECHMALHAS APUCARANA LTDA,techmalhas.com.br,malharia (produz tecido),fora do ICP -- nao produz peca sob encomenda,,,,,,,,
X,WORKMAQ APARELHOS LTDA,,maquinas,fora do ICP -- nao produz peca sob encomenda,,,,,,,,
